id,user_id,scenario_type,event_state,event_type,event_datetime
0, "0","Default", "Completed", "Start", "2024-3-20 12:53:11"
1, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-20 12:53:13"
2, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-20 12:53:33"
3, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-20 12:53:33"
4, "0","Default", "Completed", "Start", "2024-3-20 12:57:19"
5, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-20 12:57:22"
6, "0","Default", "Completed", "Start", "2024-3-21 10:32:37"
7, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 10:32:40"
8, "0","Default", "Completed", "Start", "2024-3-21 10:34:4"
9, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 10:34:7"
10, "0","Default", "Completed", "Start", "2024-3-21 10:34:25"
11, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 10:34:28"
12, "0","Default", "Completed", "Start", "2024-3-21 10:35:17"
13, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 10:35:22"
14, "0","Default", "Completed", "Start", "2024-3-21 11:23:4"
15, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 11:23:7"
16, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-21 11:23:45"
17, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-21 11:23:45"
18, "0","Default", "Completed", "Start", "2024-3-21 11:28:33"
19, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 11:28:36"
20, "0","Default", "Completed", "Start", "2024-3-21 11:29:40"
21, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 11:29:42"
22, "0","Default", "Completed", "Start", "2024-3-21 11:33:4"
23, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 11:33:7"
24, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-21 11:33:27"
25, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-21 11:33:27"
26, "0","Default", "Completed", "Start", "2024-3-21 12:3:39"
27, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:3:42"
28, "0","Default", "Completed", "Start", "2024-3-21 12:6:42"
29, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:6:45"
30, "0","Default", "Completed", "Start", "2024-3-21 12:7:0"
31, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:7:3"
32, "0","Default", "Completed", "Start", "2024-3-21 12:8:22"
33, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:8:25"
34, "0","Default", "Completed", "Start", "2024-3-21 12:9:17"
35, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:9:20"
36, "0","Default", "Completed", "Start", "2024-3-21 12:11:36"
37, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:11:39"
38, "0","Default", "Completed", "Start", "2024-3-21 12:13:7"
39, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:13:9"
40, "0","Default", "Completed", "Start", "2024-3-21 12:16:44"
41, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:16:47"
42, "0","Default", "Completed", "Start", "2024-3-21 12:19:7"
43, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:19:10"
44, "0","Default", "Completed", "Start", "2024-3-21 12:19:43"
45, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:19:46"
46, "0","Default", "Completed", "Start", "2024-3-21 12:20:14"
47, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:20:17"
48, "0","Default", "Completed", "Start", "2024-3-21 12:21:55"
